bairro,precos,quartos,areas
Agua-Verde,3800.0,4,230
Agua-Verde,1100.0,2,55
Agua-Verde,1690.0,3,72
Agua-Verde,1100.0,2,55
Agua-Verde,990.0,2,65
Agua-Verde,1500.0,2,81
Agua-Verde,1400.0,1,49
Agua-Verde,4000.0,2,80
Agua-Verde,2330.0,3,151
Agua-Verde,850.0,1,55
Agua-Verde,1300.0,1,25
Agua-Verde,3900.0,3,222
Agua-Verde,1100.0,2,54
Agua-Verde,1620.0,2,66
Agua-Verde,1500.0,2,95
Agua-Verde,1700.0,3,149
Agua-Verde,1500.0,1,26
Agua-Verde,1550.0,3,140
Agua-Verde,1640.0,1,42
Agua-Verde,10000.0,6,804
Agua-Verde,6700.0,4,350
Agua-Verde,2250.0,3,139
Agua-Verde,2900.0,4,202
Agua-Verde,1390.0,,33
Agua-Verde,900.0,1,30
Agua-Verde,1400.0,1,31
Agua-Verde,3200.0,3,111
Agua-Verde,1200.0,1,29
Agua-Verde,1300.0,2,106
Agua-Verde,2950.0,4,159
Agua-Verde,4000.0,2,80
Agua-Verde,1600.0,1,34
Agua-Verde,1200.0,2,54
Agua-Verde,1720.0,2,66
Agua-Verde,7680.0,4,400
Agua-Verde,1400.0,2,64
Agua-Verde,5750.0,3,290
Agua-Verde,1300.0,1,31
Agua-Verde,3999.0,3,251
Agua-Verde,1500.0,1,46
Agua-Verde,1200.0,1,29
Agua-Verde,1230.0,1,31
Agua-Verde,1500.0,1,30
Agua-Verde,2400.0,4,175
